Name,"Sub Category","Plan","AUM","CAGR 3Y","Expense Ratio","Benchmark","Time since inception","Fund Manager","3Y Avg Annual Rolling Return ","CAGR 10Y","Alpha","Absolute Returns - 1Y","CAGR 5Y"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","98541.2823","23.755394229068717","0.62","NIFTY 500 - TRI","145","Rajeev Thakkar,Rukun Tarachandani,Raj Mehta,Mansi Kariya","20.16570097322634","18.259432847850874","3.64","16.013208783584098","29.4170037925634"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","97460.90019999999","23.696736714577128","0.77","NIFTY 50 Hybrid Composite Debt 50:50 Index","149","Gopal Agrawal,Srinivasan Ramamurthy,Arun Agarwal,Nandita Menezes","23.179653967083794","15.41821161637591","0","10.047042544460465","27.840181326997104"
HDFC Mid-Cap Opportunities Fund,"Mid Cap Fund","Growth","74909.76490000001","31.180427319142588","0.79","Nifty Midcap 150 - TRI","149","Chirag Setalvad","29.16733447499909","18.531785128984346","3.75","13.590040244233235","35.60375371097946"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","74105.4645","28.134579100723677","0.74","NIFTY 500 - TRI","149","Roshi Jain","25.707578665927578","16.412995191584812","4.95","17.75806147650741","33.257337220354444"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","74035.6588","16.33108834646584","0.74","CRISIL Hybrid 35+65 - Aggressive Index","149","R. Srinivasan,Rajeev Radhakrishnan,Mansi Sajeja","13.209266202421396","12.91516686485008","1.71","15.12883952400167","20.03449710194589"
HDFC Liquid Fund,"Liquid Fund","Growth","73779.8465","6.936440030652591","0.2","CRISIL Liquid Debt Index","149","Anupam Joshi,Swapnil Jangam","6.290291860339238","6.2940109285061885","-0.21","7.323741828849669","5.492520417618119"
ICICI Pru Bluechip Fund,"Large Cap Fund","Growth","68033.75491458901","22.828737491782604","0.85","NIFTY 100 - TRI","149","Anish Tawakley,Vaibhav Dusad","19.823031043760764","15.114931859976345","2.7199999999999998","12.61616446071529","26.97366306316922"
SBI Liquid Fund,"Liquid Fund","Growth","67476.11690000001","6.922654467154499","0.21","Nifty Liquid Fund Index","149","Rajeev Radhakrishnan","6.308146642513345","6.292116995692321","0","7.265862340523418","5.50401548365691"
Kotak Equity Arbitrage Fund,"Arbitrage Fund","Growth","63309.50889999999","7.577367877324548","0.44","Nifty 50 Arbitrage","149","Hiten Shah","7.085329764981022","6.5321713879970655","0.72","7.866371695846665","6.286469049340582"
ICICI Pru Balanced Advantage Fund,"Balanced Advantage Fund","Growth","62527.9077382254","15.383300279397227","0.84","CRISIL Hybrid 50+50 - Moderate Index","149","Manish Banthia,Sankaran Naren,Rajat Chandak,Ihab Dalwai","13.636300493800661","12.100838642219847","0","12.449799196787163","18.459638011448078"
Nippon India Small Cap Fund,"Small Cap Fund","Growth","58028.592800000006","29.318736630323382","0.68","Nifty Smallcap 250 - TRI","149","Samir Rachh","30.037516557625654","22.504145098315952","1.96","5.7771045228305535","41.698023932878"
ICICI Pru Multi-Asset Fund,"Multi Asset Allocation Fund","Growth","57484.5097011545","21.79215579787266","0.66","Gold-India","149","Sankaran Naren,Ihab Dalwai,Manish Banthia,Gaurav Chikane","21.383566503822543","15.721403489681919","0","14.131395976990136","27.278476097363914"
Aditya Birla SL Liquid Fund,"Liquid Fund","Growth","53911.7342","7.033173806324933","0.21","Nifty Liquid Fund Index","149","Kaustubh Gupta,Sunaina da Cunha,Sanjay Pawar","6.398741071659053","6.407038876987103","0","7.401937541551878","5.595403623475637"
ICICI Pru Liquid Fund,"Liquid Fund","Growth","53192.6261170431","6.952543357804797","0.2","CRISIL Liquid Debt Index","150","Darshil Dedhia,Nikhil Kabra","6.305958420663194","6.345678237225072","-0.15","7.345554719039708","5.533992025076162"
ICICI Pru Value Discovery Fund,"Value Fund","Growth","51111.8813232051","25.135476799324042","1","NIFTY 500 - TRI","149","Sankaran Naren,Dharmesh Kakkad,Masoomi Jhurmarvala","24.23563888498755","15.958595915931406","3.56","15.380777430035831","32.04227494012413"
SBI BlueChip Fund,"Large Cap Fund","Growth","51010.202300000004","19.076419098531638","0.82","BSE 100 - TRI","149","Saurabh Pant","15.71225464824749","13.673574668170518","2.74","12.806906895529641","24.50066846646648"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","50811.64690000001","21.76481321501138","0.65","NIFTY 500 - TRI","149","Harsha Upadhyaya","17.71253820416892","15.168461063884742","3.02","12.561401823138716","24.71366379256792"
Kotak Emerging Equity Fund,"Mid Cap Fund","Growth","49645.8521","25.799340912229198","0.44","Nifty Midcap 150 - TRI","149","Atul Bhole","24.561602899758213","18.961582342234063","4.109999999999999","14.210375731706382","33.73595565656533"
SBI Contra Fund,"Contra Fund","Growth","44068.5662","26.555301582297332","0.63","BSE 500 - TRI","149","Dinesh Balachandran,Pradeep Kesavan","27.26863038885525","16.861488649579883","1.72","8.908894092114668","37.47746125462537"
Kotak Liquid Fund,"Liquid Fund","Growth","42664.50230000001","6.946023931309386","0.2","Nifty Liquid Fund Index","149","Deepak Agrawal","7.2461137002469895","6.300924748995662","0","7.338206232771047","5.520637901309455"
ICICI Pru Equity & Debt Fund,"Aggressive Hybrid Fund","Growth","42339.7067586158","22.405369939449994","0.98","CRISIL Hybrid 35+65 - Aggressive Index","149","Sankaran Naren,Mittul Kalawadia,Manish Banthia,Akhil Kakkar","21.6809108188761","16.610503073232643","0.8699999999999999","13.402796096016882","28.595489486137282"
Nippon India Multi Cap Fund,"Multi Cap Fund","Growth","40261.142","28.91868147827905","0.75","Nifty500 Multicap 50:25:25 - TRI","149","Sailesh Raj Bhan,Ashutosh Bhargava,Kinjal Desai","28.310879226017427","15.579309519677075","1.78","9.599343426444806","35.80288965624505"
Nippon India Large Cap Fund,"Large Cap Fund","Growth","39677.3798","25.376853066959136","0.68","BSE 100 - TRI","149","Sailesh Raj Bhan,Bhavik Dave","22.817705141898948","15.26866082593501","1.3299999999999998","11.830367457529313","29.9674354237101"
