Name,"Sub Category","Plan","AUM","Absolute Returns - 1Y","Absolute Returns - 3M","Absolute Returns - 6M","Returns vs sub-category - 5Y","Returns vs sub-category - 10Y","PE Ratio","Returns vs sub-category - 1Y","Category PE Ratio","Returns vs sub-category - 3Y","% Away from ATH","Tracking Error"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","98541.2823","16.013208783584098","5.219144398736742","5.3098366984654195","1.3352258758218252","1.7643575219757486","21.3219349818904","1.9969195005106801","41.2407057767333","1.2983657009282445","0","7.303861069324909"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","97460.90019999999","10.047042544460465","8.155320889997284","4.70664793036132","2.1160468368364964","2.595467735299175","27.8002321397613","1.4679227045692997","34.92380122692106","2.0070940933858914","0.2","0"
HDFC Mid-Cap Opportunities Fund,"Mid Cap Fund","Growth","74909.76490000001","13.590040244233235","11.312607476280638","2.893805220984232","1.2833623697118042","1.4996118060644785","41.3443534137013","1.7335910336481524","53.139706693867744","1.4218484200086072","4.17","4.481373570681204"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","74105.4645","17.75806147650741","10.054032953303626","6.560352560858189","1.5095370531507146","1.5859414564364656","29.8985149088515","2.2145105164717718","41.2407057767333","1.5377127469319327","0.79","5.310022881306634"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","74035.6588","15.12883952400167","9.03384006838409","9.841352497062868","1.0846205981763073","1.6930518864318997","41.1737046720423","2.1352564394512457","38.11007270692911","1.1135966330507352","0.02","2.6431055597535265"
HDFC Liquid Fund,"Liquid Fund","Growth","73779.8465","7.323741828849669","1.7981143777035848","3.5991540937634174","6.600178247594857","1.2736945729553457","0","2.9983820660506586","0","4.217847295786836","0","0.06667293303882768"
ICICI Pru Bluechip Fund,"Large Cap Fund","Growth","68033.75491458901","12.61616446071529","9.63172804532577","6.196335310259361","1.3619863678775836","1.8710218409405948","31.861414382795","1.737538474460336","35.70410385502852","1.3956483249002465","3.72","2.6716796739130237"
SBI Liquid Fund,"Liquid Fund","Growth","67476.11690000001","7.265862340523418","1.7632115626028264","3.5497381218325144","6.613991484334139","1.2733113051196259","0","2.974685870329232","0","4.209464695855981","0","0"
Kotak Equity Arbitrage Fund,"Arbitrage Fund","Growth","63309.50889999999","7.866371695846665","1.8314210061782854","3.7238560426091323","1.6351517432826892","2.2471841220997497","38.9781252625691","1.6694460922890069","34.174410748843535","1.5442899133022205","0.06","0.8524610724250111"
ICICI Pru Balanced Advantage Fund,"Balanced Advantage Fund","Growth","62527.9077382254","12.449799196787163","6.99696929766768","6.046754603630678","1.4030604960677064","2.0370284860135723","35.4714431568081","1.8189773585032538","34.92380122692106","1.3029528706611486","0","0"
Nippon India Small Cap Fund,"Small Cap Fund","Growth","58028.592800000006","5.7771045228305535","12.499861905749752","-2.2022546486321817","1.2687306084276686","1.6395342288265338","45.2025939757898","1.0968501221864606","45.528838726035225","1.3740230141283","10.32","4.281354771564721"
ICICI Pru Multi-Asset Fund,"Multi Asset Allocation Fund","Growth","57484.5097011545","14.131395976990136","6.542232644998689","8.449363141611622","1.4738871360662018","1.6696401472687405","31.9828228133221","1.501424781186026","36.73472697257696","1.346019094567873","0","0"
Aditya Birla SL Liquid Fund,"Liquid Fund","Growth","53911.7342","7.401937541551878","1.8051009573512764","3.6245350424213902","6.7238095581249855","1.2965676003789866","0","3.03039584098805","0","4.27666828931202","0","0"
ICICI Pru Liquid Fund,"Liquid Fund","Growth","53192.6261170431","7.345554719039708","1.7876809220988268","3.593531354653838","6.650013292460485","1.2841502857689981","0","3.0073123888669144","0","4.227639260336656","0","0.05397332674571765"
ICICI Pru Value Discovery Fund,"Value Fund","Growth","51111.8813232051","15.380777430035831","9.00287097741783","5.929874240026655","1.2504153071889175","1.4429256245014273","29.8703061901217","2.4248925272831197","31.069637542145756","1.1995174175346877","2.96","5.2528746529876384"
SBI BlueChip Fund,"Large Cap Fund","Growth","51010.202300000004","12.806906895529641","9.241843987702715","5.389429763560493","1.2371169750681548","1.6926015336941866","35.1452618277784","1.7638081319488836","35.70410385502852","1.1662481278057655","4.31","3.101878837092126"
Kotak Flexicap Fund,"Flexi Cap Fund","Growth","50811.64690000001","12.561401823138716","13.114318818190595","6.969046749452149","1.121743180063076","1.465685632071056","35.2125069295083","1.566463573502584","41.2407057767333","1.1895692697409044","2.42","3.05901766585288"
Kotak Emerging Equity Fund,"Mid Cap Fund","Growth","49645.8521","14.210375731706382","12.528380087464015","-0.24786411373382652","1.2160362737974622","1.5343914546907096","49.3711541880586","1.8127231053426083","53.139706693867744","1.176467267040817","6.81","4.438512399441958"
SBI Contra Fund,"Contra Fund","Growth","44068.5662","8.908894092114668","7.845631305221428","2.5885037041888777","1.2478644649508446","1.295752915757287","27.588516522977","0.814808881623594","32.8428131245276","1.0440619637100368","6.12","3.5003289845384535"
Kotak Liquid Fund,"Liquid Fund","Growth","42664.50230000001","7.338206232771047","1.7988288868816957","3.5941592075886977","6.633966088171906","1.2750936959845012","0","3.0043038762847565","0","4.223674986834365","0","0"
ICICI Pru Equity & Debt Fund,"Aggressive Hybrid Fund","Growth","42339.7067586158","13.402796096016882","9.39185750636133","7.2870654588106225","1.5480926101502246","2.177474271684204","33.1933487980066","1.8916458612221645","38.11007270692911","1.52779435133159","0.76","2.535158906262091"
Nippon India Multi Cap Fund,"Multi Cap Fund","Growth","40261.142","9.599343426444806","12.819522855841324","2.3364667143953834","1.3768204039140326","1.3457616139725375","47.4657777184829","1.1695551381230163","44.47760850560772","1.332893440165401","5.96","3.3320592011547454"
Nippon India Large Cap Fund,"Large Cap Fund","Growth","39677.3798","11.830367457529313","10.771417184208376","5.5640491229638025","1.5131514926897527","1.89005138441181","37.2624968541315","1.6293160007915157","35.70410385502852","1.5514288727920196","3.39","2.497060087382761"
Axis Liquid Fund,"Liquid Fund","Growth","39069.405801","7.398722288185145","1.804730161889848","3.633349553468894","6.681257189856403","1.2903523086434274","0","3.029079497750138","0","4.260150641043762","0","0"
Mirae Asset Large Cap Fund,"Large Cap Fund","Growth","38891.5512","14.520507874987421","9.85987127097985","5.586879387794654","1.1782086769947473","1.7912693424389277","31.4154137240633","1.9998107332903692","35.70410385502852","1.0706186979118464","4.36","2.4002255893977966"
Mirae Asset Large & Midcap Fund,"Large & Mid Cap Fund","Growth","36506.7903","8.939351537200654","12.193515182707158","3.785286705473839","1.120529732052591","1.6680506131726942","31.616354419186","1.105773092997248","44.33154107023851","1.0244572566711392","6.77","2.6431055597535265"
HDFC Large Cap Fund,"Large Cap Fund","Growth","36108.727999999996","9.491718802893725","7.854428944835689","4.279899764080544","1.330780243745255","1.6852671622016355","27.8391027855326","1.3072298367812654","35.70410385502852","1.311159864016717","6.63","2.2224311012942564"
SBI Focused Equity Fund,"Focused Fund","Growth","36040.8209","13.468499690215344","6.827073295702823","5.7740919394619725","1.1156319120906255","1.607868866362106","52.0109938567469","1.6456872038121255","41.289219315290595","1.0696978373445294","1.46","6.664118402309491"
Nippon India Liquid Fund,"Liquid Fund","Growth","35392.1045","7.362491362783991","1.7943405561172623","3.60492799635884","6.6724333825997855","1.2923280130440669","0","3.014246348316701","0","4.247535048141594","0","0"
Axis ELSS Tax Saver Fund,"Equity Linked Savings Scheme (ELSS)","Growth","34949.861006","12.185203316357688","9.183464075792031","5.0066778501523626","0.7922052512793276","1.2226538381942558","44.2263045490379","1.508445616744214","38.250418713887214","0.9033183815411243","5.46","5.044918599937962"
