Name,"Sub Category","Plan","AUM","Sortino Ratio","Sharpe Ratio","% Other Holdings","% Largecap Holding","% Midcap Holding","% Concentration - Top 10 Holdings","% Equity Holding","% Smallcap Holding","% Concentration - Top 3 Holdings","% Concentration - Top 5 Holdings","% Cash Holding"
Parag Parikh Flexi Cap Fund,"Flexi Cap Fund","Growth","98541.2823","0.0931","0.9254838086103938","0","60.24436410241432","4.196771549419945","60.91668435696825","76.20507004504447","1.7596892992735087","27.99490919553421","39.83528576428929","13.092592971057805"
HDFC Balanced Advantage Fund,"Balanced Advantage Fund","Growth","97460.90019999999","0.0477","0.5349709150972602","0","54.307680404536214","7.126168530916158","31.5427995605565","66.98898908795431","5.555140152501899","13.122800398677219","19.05671542319697","3.426010116003427"
HDFC Mid-Cap Opportunities Fund,"Mid Cap Fund","Growth","74909.76490000001","0.052","0.5444956198170927","0","13.394785731065609","56.75803422525492","36.13465085110684","92.56897427534173","22.41615431902123","15.313074223785199","21.96393103350934","7.431025724658226"
HDFC Flexi Cap Fund,"Flexi Cap Fund","Growth","74105.4645","0.0998","1.003268897155693","0","72.63543824086011","4.4841898265140765","60.00222534196516","86.6675904851794","9.547962417805232","28.170614867409668","41.562157673271166","9.042772277609835"
SBI Equity Hybrid Fund,"Aggressive Hybrid Fund","Growth","74035.6588","0.0956","0.9842194877160277","0","56.616992918552924","9.64877238318031","40.29112347143726","69.91985705136995","3.6540917496367316","15.7505538398748","24.464935672322284","2.5102768451356066"
HDFC Liquid Fund,"Liquid Fund","Growth","73779.8465","0.3654","6.322816483182159","0","0","0","41.581744684166566","0","0","17.71303414137627","25.759521877020987","-7.646509267269895"
ICICI Pru Bluechip Fund,"Large Cap Fund","Growth","68033.75491458901","0.0608","0.620693257575753","0","81.50412595867081","8.673645027248966","56.98934058347237","90.66453274178015","0.16112325438690983","25.26312302117895","36.59542021641538","7.6403062290397425"
SBI Liquid Fund,"Liquid Fund","Growth","67476.11690000001","0.3396","7.402283018096512","0","0","0","30.989934010266072","0","0","12.70929344186965","18.593870359484182","-8.25730133264377"
Kotak Equity Arbitrage Fund,"Arbitrage Fund","Growth","63309.50889999999","0.6396","3.9479901063705825","0","48.7087109595317","14.500935735421573","39.29461487261669","65.63938027957127","2.429733584617966","23.860896352648837","30.035353978239417","0.6766986625606259"
ICICI Pru Balanced Advantage Fund,"Balanced Advantage Fund","Growth","62527.9077382254","0.1211","1.150901820313097","0","59.53751668111797","5.658903564810726","36.98935729119347","66.27902195848554","1.013451309858245","14.31942123744906","22.558994711695327","9.233152278811948"
